Ticker,MMBuy,MMSell,AI1-Average,AI1-AskAmt,AI1-AskPrice,AI1-AskAvail,AI1-BidAmt,AI1-BidPrice,AI1-BidAvail,CI1-Average,CI1-AskAmt,CI1-AskPrice,CI1-AskAvail,CI1-BidAmt,CI1-BidPrice,CI1-BidAvail,CI2-Average,CI2-AskAmt,CI2-AskPrice,CI2-AskAvail,CI2-BidAmt,CI2-BidPrice,CI2-BidAvail,NC1-Average,NC1-AskAmt,NC1-AskPrice,NC1-AskAvail,NC1-BidAmt,NC1-BidPrice,NC1-BidAvail,NC2-Average,NC2-AskAmt,NC2-AskPrice,NC2-AskAvail,NC2-BidAmt,NC2-BidPrice,NC2-BidAvail,IC1-Average,IC1-AskAmt,IC1-AskPrice,IC1-AskAvail,IC1-BidAmt,IC1-BidPrice,IC1-BidAvail
AAR,,,14000,1,15000,64,1,14000,1,10000,3,15000,3,4,9100,25,6839.64013671875,,,0,,,0,17000,3,17000,15,20,7500,50,6839.64013671875,,,0,,,0,18000,1,18000,1,,,0
ABH,,,36000,6,69000,101,20,31000,30,53819.05859375,,,0,10,36000,51,24309.869140625,,,0,,,0,48795.62109375,6,60000,7,16,50000,16,24309.869140625,,,0,,,0,48917.140625,38,70000,38,,,0
ACS,,,250000,4,250000,4,,,0,75144.5390625,1,148500,1,,,0,75144.5390625,,,0,,,0,300000,,,0,,,0,75144.5390625,,,0,,,0,75144.5390625,,,0,,,0
ADE,,,28000,8,69000,91,15,28000,25,46540.9296875,,,0,,,0,21448.439453125,,,0,,,0,48000,4,85000,8,12,50000,12,21448.439453125,,,0,,,0,47221,36,70000,36,,,0
ADR,48000,,48653.66015625,,,0,4,48002,109,48000,,,0,100,48000,100,29454.05078125,,,0,,,0,48031.26953125,2,49100,2,100,48000,100,29454.05078125,,,0,,,0,48000,,,0,100,48000,100
ADS,,,150000,1,150000,1,,,0,127500,,,0,,,0,55441.69921875,,,0,,,0,130000,,,0,3,105000,3,55441.69921875,,,0,,,0,102500,,,0,,,0
AEF,,,2999,9,2900,67,40,1400,240,2596.4599609375,49,2800,72,60,1850,71,1800,,,0,,,0,2998.760009765625,15,3000,531,62,2200,85,2124.820068359375,30,2600,30,,,0,2493.77001953125,48,2500,516,30,2100,56
AEN,,,978596.25,,,0,,,0,978596.25,,,0,,,0,978596.25,,,0,,,0,978596.25,,,0,,,0,978596.25,,,0,,,0,978596.25,,,0,,,0
AFP,,,134854.125,,,0,,,0,134854.125,,,0,,,0,134854.125,,,0,,,0,134854.125,,,0,,,0,134854.125,,,0,,,0,134854.125,,,0,,,0
AFR,,,7837.64013671875,,,0,,,0,5000,,,0,,,0,7837.64013671875,,,0,,,0,20000,11,20000,11,,,0,7837.64013671875,,,0,,,0,7837.64013671875,,,0,,,0
AGS,,,221720.1875,,,0,1,170000,1,221720.1875,,,0,1,180000,1,221720.1875,,,0,,,0,120000,1,280000,1,1,170000,2,221720.1875,,,0,,,0,221720.1875,,,0,,,0
AHP,,,5000,6,5000,6,,,0,5566.330078125,,,0,,,0,5566.330078125,,,0,,,0,5566.330078125,2,8000,2,,,0,5566.330078125,,,0,,,0,5566.330078125,,,0,,,0
AIR,185000,,91614.84375,,,0,100,185000,100,91614.84375,,,0,100,185000,100,91614.84375,,,0,,,0,185000.015625,,,0,13,185000.015625,113,91614.84375,,,0,,,0,185000,,,0,100,185000,100
AL,,,458.9200134277344,185,480,1942,36,450,3714,541.0499877929688,84,569.989990234375,286,150,499,666,275,,,0,231,27.5,231,560.1900024414062,79,579,2372,44,525,1190,375,60,375,398,,,0,486.7099914550781,161,499.989990234375,1433,100,441.1000061035156,821
ALE,,,1445.7900390625,96,1300,409,3,1100,271,1641.1800537109375,72,1660,922,164,1500,184,750,,,0,,,0,1445.3699951171875,19,1395,565,50,1150,1885,800,60,1250,60,,,0,1099.97998046875,30,1095,436,50,802,3115
ALG,80,,100,,,0,100,120,304,120,,,0,100,100,584,85,,,0,1000,90,1000,159.3300018310547,138,160,1148,20,113.01000213623047,3210,133.72999572753906,,,0,,,0,137.5,342,165,886,2000,100,2190
ALO,42,,60.630001068115234,370,84,5114,50,60,6481,93.80999755859375,185,104,5639,80,80,2024,50,96,80,96,,,0,140.16000366210938,370,125,13652,240,110,2506,70,,,0,,,0,90.83000183105469,38,90,6818,300,85.0199966430664,2525
AMM,,,220.22999572753906,191,354.6300048828125,455,10,145.00999450683594,1337,148.02999877929688,14,150,6449,34,106,11502,100,200,150,200,,,0,127.44999694824219,331,200,2740,12,140,5107,130,20,120,89,,,0,250.3000030517578,5167,500,5167,80,220,1237
ANZ,,,70833.640625,,,0,,,0,70833.640625,,,0,,,0,70833.640625,,,0,,,0,70833.640625,,,0,,,0,70833.640625,,,0,,,0,70833.640625,,,0,,,0
APT,,,8370.4501953125,,,0,,,0,8370.4501953125,,,0,,,0,8370.4501953125,,,0,,,0,8370.4501953125,,,0,,,0,8370.4501953125,,,0,,,0,8370.4501953125,,,0,,,0
AR,,,160.50999450683594,270,240,354,20,90,120,150.1300048828125,170,149,3375,100,83,100,285.7099914550781,,,0,,,0,195.39999389648438,277,228.99000549316406,1926,40,90,340,300,50,400,50,,,0,305,10,305,740,40,83.01000213623047,140
ARP,,,5869.1201171875,,,0,,,0,5869.1201171875,,,0,,,0,5869.1201171875,,,0,,,0,5869.1201171875,,,0,,,0,5869.1201171875,,,0,,,0,5869.1201171875,,,0,,,0
ASE,,,55506.7890625,3,55000,32,10,30000,10,50000,,,0,4,35000,34,19715.48046875,,,0,,,0,52838.421875,2,100000,2,8,55000,10,19715.48046875,,,0,,,0,49999,3,55000,40,7,36000,7
AST,,,2250,23,2250,23,100,1000,100,2100,,,0,44,2100,44,1629.8599853515625,,,0,,,0,1500,40,2500,40,1,1500,1,1629.8599853515625,,,0,,,0,1629.8599853515625,,,0,,,0
ATA,,,22000,31,70000,31,10,20000,19,30000,,,0,11,21000,22,15057.51953125,,,0,,,0,29502.310546875,,,0,8,30000,18,15057.51953125,,,0,,,0,43047.62109375,,,0,,,0
ATP,,,12416.009765625,,,0,,,0,12416.009765625,,,0,,,0,12416.009765625,,,0,,,0,12416.009765625,,,0,,,0,12416.009765625,,,0,,,0,12416.009765625,,,0,,,0
AU,,,1071.68994140625,60,1200,186,,,0,1000,13,1436.6400146484375,25,,,0,627.3300170898438,,,0,,,0,890.6599731445312,15,900,166,,,0,627.3300170898438,,,0,,,0,3000,4,2200,20,,,0
AUO,137,,230,,,0,100,147,1027,490,31,500,31,28,300.0299987792969,898,108.2699966430664,,,0,,,0,242.74000549316406,300,494.95001220703125,754,100,150,200,108.2699966430664,,,0,,,0,286.5,,,0,100,170,420
AWF,,,3000,,,0,,,0,6000,2,6000,2,,,0,2969.239990234375,,,0,,,0,2599,,,0,1,2599,1,2969.239990234375,,,0,,,0,2969.239990234375,4,4000,4,,,0
AWH,,,10563.259765625,,,0,,,0,10563.259765625,,,0,,,0,10563.259765625,,,0,,,0,10563.259765625,,,0,,,0,10563.259765625,,,0,,,0,10563.259765625,,,0,,,0
BAC,,,1000,,,0,,,0,1000,,,0,26,750,26,1288.9000244140625,,,0,,,0,2450,95,2450,95,20,1600,80,1288.9000244140625,,,0,,,0,800,,,0,100,800,100
BAI,,,6845.89990234375,,,0,,,0,6845.89990234375,10,13000,10,,,0,6845.89990234375,,,0,,,0,8000,18,13000,18,,,0,6845.89990234375,,,0,,,0,6845.89990234375,,,0,,,0
BBH,750,2400,2192.02001953125,58,2190,232,35,1650,416,1723.9000244140625,30,1775,829,3,1326,234,1700,4,1700,4,,,0,1657.010009765625,7,1640,782,3,1410,3554,1200,35,1200,356,4,1000,4,2130.669921875,1,2100,303,8,1900,340
BCO,,,319.25,592,400,2992,,,0,444.6400146484375,50,414,2172,10000,250,10000,304.3599853515625,,,0,,,0,432.80999755859375,200,449,1438,24,390,24,304.3599853515625,,,0,,,0,366.05999755859375,500,475,500,,,0
BDE,850,2350,2211.860107421875,97,1900,458,10,1600,111,1534.7099609375,111,1555.550048828125,1228,2,1400,580,1550,22,1550,22,,,0,1376.0400390625,108,1440,981,10,1300,2099,1000,4,1000,236,,,0,2074.2900390625,1,2249.89990234375,305,6,1500,284
BE,,,2763.4599609375,3,3000,27,3,1800,33,2600,75,2995,75,55,1653.5699462890625,55,1194,,,0,,,0,3240.659912109375,500,3500,2000,100,2300,100,1194,,,0,,,0,2520.2099609375,147,2749.989990234375,332,31,2222,31
BEA,,,145,20,145,256,100,116,1942,114,,,0,15,120,2113,84,,,0,,,0,119.73999786376953,47,129.99000549316406,47,500,110,2325,100,100,100,187,24,90,24,133.17999267578125,130,168,1016,1485,112,4401
BER,,,392.92999267578125,,,0,40,425,378,450,250,500,250,70,370,314,20,,,0,,,0,389.30999755859375,100,470,843,100,360,380,117.55000305175781,,,0,,,0,721.530029296875,51,900,51,50,350,460
BFP,,,20238.900390625,,,0,,,0,20238.900390625,,,0,,,0,20238.900390625,,,0,,,0,20238.900390625,,,0,,,0,20238.900390625,,,0,,,0,20238.900390625,,,0,,,0
BFR,,,1500,10,1500,12,,,0,1999.989990234375,3,1000,133,,,0,2539.510009765625,,,0,,,0,1999.989990234375,1,2000,1,,,0,2539.510009765625,,,0,,,0,2539.510009765625,4,3000,7,,,0
BGC,,,423.0400085449219,10,800,10,100,380,100,331.75,37,465,144,100,320,100,324.989990234375,,,0,,,0,421.7699890136719,8,449,295,50,330,50,324.989990234375,,,0,,,0,450,60,444.44000244140625,720,119,350,119
BGO,,,1000,,,0,,,0,1405.22998046875,28,1500,28,,,0,766.97998046875,,,0,,,0,1699.989990234375,17,1700,59,20,800,20,766.97998046875,,,0,,,0,1500,,,0,,,0
BGS,,,88306.3984375,,,0,1,60000,1,63000,,,0,,,0,88306.3984375,,,0,,,0,60000,,,0,1,60000,1,88306.3984375,,,0,,,0,88306.3984375,,,0,1,60000,1
BHP,,,2877.89990234375,206,3000,217,4,2710,19,2778.68994140625,8,3000,8,23,2250,29,1500,,,0,,,0,4213.16015625,100,5000,1263,14,2800,105,1600,32,1600,32,,,0,2750,25,2850,277,2,2401,67
BID,,,25000,,,0,,,0,24566.470703125,,,0,,,0,24566.470703125,,,0,,,0,24566.470703125,,,0,,,0,24566.470703125,,,0,,,0,24566.470703125,,,0,,,0
BL,,,3000,,,0,,,0,1750,,,0,10,2000,14,3004.719970703125,,,0,,,0,6500,4,6500,4,20,4500,60,3004.719970703125,,,0,,,0,5000,,,0,,,0
BLE,,,1500,3,3750,3,,,0,1500,3,1440,46,2,900.010009765625,14,1821.280029296875,,,0,,,0,1325,2,1325,10,4,900,4,1821.280029296875,,,0,,,0,700,2,1100,8,20,500,20
BMF,,,20000,,,0,1,18000,2,21000,3,25000,4,4,10000,4,11077.5703125,,,0,,,0,23187.7109375,,,0,30,18000,35,11077.5703125,,,0,,,0,16464.900390625,,,0,1,15000,1
BND,,,274.30999755859375,,,0,,,0,274.30999755859375,,,0,,,0,274.30999755859375,,,0,,,0,270,60,400,260,,,0,274.30999755859375,,,0,,,0,274.30999755859375,40,600,200,,,0
BOR,,,260,,,0,91,260,239,350,90,350,337,20,275.010009765625,495,117.55000305175781,,,0,,,0,341.3800048828125,245,350,745,104,325,985,83.47000122070312,,,0,50,130,250,346.19000244140625,36,349,78,30,300,99
BOS,,,5000,24,6000,24,124,5000,124,5359.3798828125,4,4600,27,,,0,1914.6800537109375,,,0,,,0,3750,4,5000,37,,,0,1914.6800537109375,,,0,,,0,1914.6800537109375,,,0,,,0
BPT,,,2656.85009765625,,,0,,,0,2656.85009765625,,,0,,,0,2656.85009765625,,,0,,,0,3000,,,0,43,2500,43,2656.85009765625,,,0,,,0,3200,6,3000,36,,,0
BR1,,,450000,1,450000,1,,,0,470000,,,0,,,0,255340.484375,,,0,,,0,500000,,,0,1,376000,2,255340.484375,,,0,,,0,450000,,,0,,,0
BR2,,,343143.09375,,,0,,,0,343143.09375,,,0,,,0,343143.09375,,,0,,,0,343143.09375,1,1100000,1,,,0,343143.09375,,,0,,,0,343143.09375,,,0,,,0
BRM,,,175,100,200,1106,488,175,562,120,132,180,132,711,120,1411,51.43000030517578,,,0,,,0,171.02000427246094,5,160,102,200,101,1131,40,240,100,340,400,40,400,180,50,180,287,200,50,200
BRO,,,990,7,990,66,,,0,1675,18,1112,27,,,0,836.489990234375,,,0,,,0,2499.989990234375,22,2500,111,150,1101,150,836.489990234375,,,0,,,0,1750,20,1900,62,,,0
BRP,,,3225.530029296875,,,0,,,0,3225.530029296875,,,0,,,0,3225.530029296875,,,0,,,0,3225.530029296875,,,0,,,0,3225.530029296875,,,0,,,0,3225.530029296875,,,0,,,0
BRS,,,220000,,,0,,,0,190000,,,0,,,0,127983.546875,,,0,,,0,167000,,,0,1,180000,2,127983.546875,,,0,,,0,193000,,,0,,,0
BSC,,,28500,33,25000,34,,,0,14624.330078125,,,0,,,0,14624.330078125,,,0,,,0,15001,,,0,,,0,14624.330078125,,,0,,,0,14624.330078125,,,0,,,0
BSE,475,1550,1430.52001953125,190,1493,589,4,1430,4666,1429.8299560546875,90,1444.43994140625,1784,3,1377,771,1500,198,1500,198,2,1200,2,1463.969970703125,301,1500,12297,1,1495,3527,1269.199951171875,15,1550,140,1,1300,19,1529.0899658203125,8,1499.989990234375,3932,1,1459.06005859375,413
BTA,500,1600,1195.6300048828125,35,1235,360,1,1218.72998046875,275,1128.6500244140625,17,1111.1099853515625,307,2,1000.0999755859375,239,500,,,0,,,0,1004.4600219726562,6,1034,475,1,930,461,850.02001953125,38,890,139,,,0,1180.5,102,1289.8800048828125,360,9,801.010009765625,150
BTS,,,500,3,500,550,80,400,80,436.9800109863281,33,439,3248,100,310,100,100.3499984741211,,,0,,,0,411.8900146484375,79,449,3768,,,0,100.3499984741211,,,0,,,0,400,100,1500,100,,,0
BWH,,,5000,,,0,,,0,3769.89990234375,,,0,,,0,3769.89990234375,,,0,,,0,5000,,,0,11,5000,11,3769.89990234375,,,0,,,0,3769.89990234375,,,0,,,0
BWS,,,21066.400390625,,,0,4,21000,27,27939.3203125,2,25000,2,2,15000,7,8697.1298828125,,,0,,,0,37172.73828125,3,35000,3,4,25000,64,8697.1298828125,,,0,,,0,20000,,,0,,,0
C,225,,414.989990234375,16,420,3107,64,401,2447,442.489990234375,9,444,4374,824,420,4961,331.2300109863281,136,350,136,,,0,426.5899963378906,17,425,919,15,372,2074,350,92,500,92,30,330,51,326.94000244140625,76,340,3352,50,315,1615
CA,,,300,2,1000,2,,,0,300,51,500,51,20,100,31,1008.4000244140625,,,0,,,0,250,3,240,98,8,50,58,1008.4000244140625,,,0,,,0,100,7,100,32,10,50,10
CAF,,,664.0999755859375,192,740,917,3,500,24,656.7899780273438,7,649,363,10,560,257,780,,,0,,,0,774.0900268554688,3,700,1670,100,650.010009765625,1439,782.97998046875,,,0,4,800,4,630.4000244140625,30,500,1076,193,425,211
CAP,,,124.86000061035156,62,125,3312,,,0,200,,,0,,,0,143.9499969482422,,,0,,,0,110,15,90,310,,,0,143.9499969482422,,,0,,,0,195,25,195,335,,,0
CBL,87000,,87685.8515625,1,120000,1,4,87001,109,87000,1,90000,7,100,87000,100,43824.359375,,,0,,,0,87000,5,99000,8,100,87000,100,43824.359375,,,0,,,0,87000,5,98500,8,100,87000,100
CBM,60000,,60000,3,90000,19,100,60000,100,68000,3,70000,8,100,60000,100,29642.349609375,,,0,,,0,60847.5390625,,,0,6,60001,106,29642.349609375,,,0,,,0,60000,2,65000,4,100,60000,100
CBS,,,40000,2,50000,19,100,40000,100,41398.7890625,1,45000,13,100,40000,100,17970.41015625,,,0,,,0,40000,1,41750,5,100,40000,100,17970.41015625,,,0,,,0,40000,1,50000,2,100,40000,100
CC,,,332495.9375,,,0,100,300000,100,332495.9375,,,0,100,300000,100,332495.9375,,,0,,,0,300000,,,0,100,300000,100,332495.9375,,,0,,,0,332495.9375,,,0,100,300000,100
CCD,55000,,55000,,,0,100,55000,100,55000,10,60000,11,100,55000,100,27535.919921875,,,0,,,0,55000,,,0,100,55000,100,27535.919921875,,,0,,,0,55000,,,0,100,55000,100
CD,,,6000,19,6000,29,,,0,12000,,,0,,,0,7735.06005859375,,,0,,,0,4500,,,0,,,0,7735.06005859375,,,0,,,0,7735.06005859375,,,0,,,0
CF,,,2747.93994140625,4,2650,4,,,0,3500,20,3400,36,,,0,3377.47998046875,,,0,,,0,3000,1,3600,22,135,3000,135,3377.47998046875,,,0,,,0,2000,3,4220,17,23,2000,23
CHA,,,21056.5703125,,,0,,,0,12000,,,0,,,0,21056.5703125,,,0,,,0,30000,,,0,41,12000,41,21056.5703125,,,0,,,0,12500,,,0,,,0
CL,,,2373.64990234375,16,2500,89,90,2000,125,2146.010009765625,5,2600,125,100,2000,165,2212.429931640625,,,0,,,0,2445.360107421875,20,2500,187,94,2000,1033,1650,73,1650,73,25,1300,25,2208.949951171875,10,2450,130,19,1700.010009765625,37
CLI,51,,83.26000213623047,176,120,2012,222,52,322,95.38999938964844,325,120,429,30,90,264,51.43000030517578,,,0,,,0,89.25,102,114,3276,100,52.0099983215332,296,150,,,0,143,150,143,56.58000183105469,30,69,1015,100,51,100
COF,,,474.95001220703125,1847,450,7205,46,370,876,436.2799987792969,500,424.989990234375,3046,50,390,204,347.4700012207031,150,395,150,,,0,417.260009765625,70,420,14015,3,401.0199890136719,1383,499,4439,499,4449,33,400,116,398.510009765625,218,400,11962,50,350,6194
COM,,,150000,,,0,,,0,150000,,,0,1,140000,3,37644.23046875,,,0,,,0,120000,,,0,1,150000,4,37644.23046875,,,0,,,0,37644.23046875,,,0,,,0
COT,,,2448.0400390625,33,2700,183,10,1201.010009765625,30,1718.760009765625,10,2429.989990234375,69,2,1102,106,1698.0400390625,10,1500,10,,,0,2020.5,26,2485,59,2,1700,154,1200,23,1200,23,,,0,1365.780029296875,,,0,1,1350,262
CQL,,,1000000,,,0,,,0,641697.3125,,,0,,,0,641697.3125,,,0,,,0,641697.3125,,,0,1,600000,1,641697.3125,,,0,,,0,641697.3125,,,0,,,0
CQM,,,927528.8125,,,0,,,0,860000,,,0,,,0,486497.15625,,,0,,,0,750000,,,0,,,0,486497.15625,,,0,,,0,860000,,,0,,,0
CQS,,,350000,1,780000,3,,,0,780000,,,0,,,0,381973.59375,,,0,,,0,675000,,,0,,,0,381973.59375,,,0,,,0,780000,,,0,,,0
CQT,,,150000,,,0,,,0,150000,,,0,,,0,109265.2421875,,,0,,,0,150000,,,0,,,0,109265.2421875,,,0,,,0,135000,,,0,,,0
