Ticker,MMBuy,MMSell,AI1-Average,AI1-AskAmt,AI1-AskPrice,AI1-AskAvail,AI1-BidAmt,AI1-BidPrice,AI1-BidAvail,CI1-Average,CI1-AskAmt,CI1-AskPrice,CI1-AskAvail,CI1-BidAmt,CI1-BidPrice,CI1-BidAvail,CI2-Average,CI2-AskAmt,CI2-AskPrice,CI2-AskAvail,CI2-BidAmt,CI2-BidPrice,CI2-BidAvail,NC1-Average,NC1-AskAmt,NC1-AskPrice,NC1-AskAvail,NC1-BidAmt,NC1-BidPrice,NC1-BidAvail,NC2-Average,NC2-AskAmt,NC2-AskPrice,NC2-AskAvail,NC2-BidAmt,NC2-BidPrice,NC2-BidAvail,IC1-Average,IC1-AskAmt,IC1-AskPrice,IC1-AskAvail,IC1-BidAmt,IC1-BidPrice,IC1-BidAvail
AAR,,,14000,1,15000,64,1,14000,1,10000,3,15000,3,4,9100,25,6839.64013671875,,,0,,,0,13489.650390625,5,17000,17,20,7500,50,6839.64013671875,,,0,,,0,18000,,,0,,,0
ABH,,,36000,6,69000,101,20,31000,30,47963.4609375,2,50000,10,10,36000,51,24309.869140625,,,0,,,0,48795.62109375,1,123277.5390625,1,16,50000,16,24309.869140625,,,0,,,0,48917.140625,38,70000,38,,,0
ACS,,,250000,4,250000,4,,,0,75144.5390625,1,148500,1,,,0,75144.5390625,,,0,,,0,300000,,,0,,,0,75144.5390625,,,0,,,0,75144.5390625,,,0,,,0
ADE,,,28000,8,69000,91,15,28000,25,48946.4296875,17,46000,23,,,0,21448.439453125,,,0,,,0,48000,4,85000,8,12,50000,12,21448.439453125,,,0,,,0,47221,36,70000,36,,,0
ADR,48000,,48653.66015625,,,0,4,48002,109,48000,,,0,100,48000,100,29454.05078125,,,0,,,0,48253.390625,2,49100,2,100,48000,100,29454.05078125,,,0,,,0,48000,,,0,100,48000,100
ADS,,,146159.25,1,150000,2,,,0,127500,,,0,,,0,55441.69921875,,,0,,,0,130000,,,0,3,105000,3,55441.69921875,,,0,,,0,102500,,,0,,,0
AEF,,,2999,9,2900,67,40,1400,240,2524.320068359375,54,2800,77,60,1850,71,1800,,,0,,,0,2996.830078125,26,2998,597,62,1860,85,2124.820068359375,30,2600,30,,,0,2491.8798828125,55,2500,523,30,2100,56
AEN,,,978596.25,,,0,,,0,978596.25,,,0,,,0,978596.25,,,0,,,0,978596.25,,,0,,,0,978596.25,,,0,,,0,978596.25,,,0,,,0
AFP,,,134854.125,,,0,,,0,134854.125,,,0,,,0,134854.125,,,0,,,0,134854.125,,,0,,,0,134854.125,,,0,,,0,134854.125,,,0,,,0
AFR,,,7837.64013671875,,,0,,,0,12000,1,5000,1,,,0,7837.64013671875,,,0,,,0,20000,11,20000,11,,,0,7837.64013671875,,,0,,,0,7837.64013671875,,,0,,,0
AGS,,,221720.1875,,,0,1,170000,1,221720.1875,,,0,1,180000,1,221720.1875,,,0,,,0,120000,1,280000,1,1,170000,2,221720.1875,,,0,,,0,221720.1875,,,0,,,0
AHP,,,5000,6,5000,6,,,0,5566.330078125,,,0,,,0,5566.330078125,,,0,,,0,5566.330078125,2,8000,2,,,0,5566.330078125,,,0,,,0,5566.330078125,,,0,,,0
AIR,185000,,91614.84375,,,0,100,185000,100,91614.84375,,,0,100,185000,100,91614.84375,,,0,,,0,185000.015625,,,0,13,185000.015625,113,91614.84375,,,0,,,0,185000,,,0,100,185000,100
AL,,,459.20001220703125,6,440,2004,122,423.0199890136719,3017,532.47998046875,30,552.97998046875,308,150,499,782,275,,,0,231,27.5,231,564.7100219726562,459,595,2154,4,526,1315,375,60,375,398,,,0,482.42999267578125,170,499.989990234375,1542,2,441,721
ALE,,,1445.7900390625,96,1300,409,3,1100,271,1660.1600341796875,72,1660,922,188,1500,208,750,,,0,,,0,1465.56005859375,75,1465,502,50,1150,1885,800,60,1250,60,,,0,1105.02001953125,5,1099.9000244140625,437,50,802,1165
ALG,80,,100,,,0,100,120,304,120,,,0,4,120,588,85,,,0,1000,90,1000,159.3300018310547,138,160,1148,20,113.01000213623047,3510,133.72999572753906,,,0,,,0,137.5,342,165,886,1000,100,1690
ALO,42,,59.43000030517578,370,84,5114,128,45,6431,92.91000366210938,245,104,5949,100,77,1944,50,96,80,96,,,0,126.26000213623047,361,145,13214,298,105,1966,70,,,0,,,0,90.9800033569336,67,93,6780,300,85.0199966430664,2577
AMM,,,199.6300048828125,220,354.6300048828125,484,29,199,1366,148.67999267578125,1080,155.5500030517578,6578,30,130,11532,100,200,150,200,,,0,117.8499984741211,221,120,4655,500,112,4459,130,20,120,89,,,0,225.47999572753906,200,300,5367,100,200,2551
ANZ,,,70833.640625,,,0,,,0,70833.640625,,,0,,,0,70833.640625,,,0,,,0,70833.640625,,,0,,,0,70833.640625,,,0,,,0,70833.640625,,,0,,,0
APT,,,8370.4501953125,,,0,,,0,8370.4501953125,,,0,,,0,8370.4501953125,,,0,,,0,8370.4501953125,,,0,,,0,8370.4501953125,,,0,,,0,8370.4501953125,,,0,,,0
AR,,,160.50999450683594,270,240,354,20,90,120,150.55999755859375,172,150,3436,100,83,100,285.7099914550781,,,0,,,0,174.88999938964844,225,179,2627,40,90,340,300,50,400,50,,,0,304.989990234375,72,305,802,40,83.01000213623047,140
