PlanetName,PlanetNaturalId,Type,Ticker,Name,ProjectId,Level,ActiveLevel,CurrentLevel,UpkeepStatus,UpgradeStatus
CG-044c,CG-044c,,SST,planetaryProjectSafetySmall,d6bdee3db4449ffa2976a885a3d49f3e-46,1,-1,0,0,0
CG-044c,CG-044c,,SST,planetaryProjectSafetySmall,d6bdee3db4449ffa2976a885a3d49f3e-47,1,-1,1,0.2586003541946411,0
CG-044c,CG-044c,,SST,planetaryProjectSafetySmall,d6bdee3db4449ffa2976a885a3d49f3e-48,1,-1,1,0.2018650621175766,0
CG-044c,CG-044c,,SST,planetaryProjectSafetySmall,d6bdee3db4449ffa2976a885a3d49f3e-49,1,-1,1,0.005756800528615713,0
CG-044c,CG-044c,,SST,planetaryProjectSafetySmall,d6bdee3db4449ffa2976a885a3d49f3e-50,1,-1,1,0.2070178985595703,0
CG-044c,CG-044c,,SST,planetaryProjectSafetySmall,d6bdee3db4449ffa2976a885a3d49f3e-51,1,-1,1,0.30000001192092896,0
ZV-639e,ZV-639e,,SST,planetaryProjectSafetySmall,c822c83b50821b3d25ce2957cfcc41b3-53,0,-1,0,0,0.8333333134651184
ZV-639d,ZV-639d,,SST,planetaryProjectSafetySmall,e1f93e53a95a996806fd20eb4a16d0a4-50,1,-1,1,0.2018064707517624,0
ZV-639d,ZV-639d,,SST,planetaryProjectSafetySmall,e1f93e53a95a996806fd20eb4a16d0a4-51,1,-1,1,0.3333333432674408,0
ZV-639d,ZV-639d,,SST,planetaryProjectSafetySmall,e1f93e53a95a996806fd20eb4a16d0a4-52,1,-1,1,0.627583920955658,0
ZV-639d,ZV-639d,,SST,planetaryProjectSafetySmall,e1f93e53a95a996806fd20eb4a16d0a4-53,1,-1,1,0.2035817950963974,0
ZV-639d,ZV-639d,,SST,planetaryProjectSafetySmall,e1f93e53a95a996806fd20eb4a16d0a4-54,1,-1,1,0,0
ZV-639d,ZV-639d,,SST,planetaryProjectSafetySmall,e1f93e53a95a996806fd20eb4a16d0a4-55,1,-1,1,0,0
ZV-639d,ZV-639d,,SST,planetaryProjectSafetySmall,e1f93e53a95a996806fd20eb4a16d0a4-56,1,-1,1,0.023420462384819984,0
ZV-639d,ZV-639d,,SST,planetaryProjectSafetySmall,e1f93e53a95a996806fd20eb4a16d0a4-57,1,-1,1,0.4228931665420532,0
ZV-639d,ZV-639d,,SST,planetaryProjectSafetySmall,e1f93e53a95a996806fd20eb4a16d0a4-58,1,-1,1,0.6666666865348816,0
ZV-639d,ZV-639d,,SST,planetaryProjectSafetySmall,e1f93e53a95a996806fd20eb4a16d0a4-59,1,-1,1,0.6658000349998474,0
ZV-639d,ZV-639d,,SST,planetaryProjectSafetySmall,e1f93e53a95a996806fd20eb4a16d0a4-60,1,-1,1,0.6666666865348816,0
ZV-639d,ZV-639d,,SST,planetaryProjectSafetySmall,e1f93e53a95a996806fd20eb4a16d0a4-61,1,-1,1,0.6666666865348816,0
ZV-639d,ZV-639d,,SST,planetaryProjectSafetySmall,e1f93e53a95a996806fd20eb4a16d0a4-62,1,-1,1,0.6666666865348816,0
ZV-639d,ZV-639d,,SST,planetaryProjectSafetySmall,e1f93e53a95a996806fd20eb4a16d0a4-63,1,-1,1,0.45776817202568054,0
ZV-639d,ZV-639d,,SST,planetaryProjectSafetySmall,e1f93e53a95a996806fd20eb4a16d0a4-64,1,-1,1,0.3333333432674408,0
YI-280b,YI-280b,,SST,planetaryProjectSafetySmall,1349bdae33107b13c18e5eab63eec18f-10,1,-1,1,0.6317520141601562,0
YI-280b,YI-280b,,SST,planetaryProjectSafetySmall,1349bdae33107b13c18e5eab63eec18f-11,1,-1,1,0.3333333432674408,0
YI-280b,YI-280b,,SST,planetaryProjectSafetySmall,1349bdae33107b13c18e5eab63eec18f-12,1,-1,1,0.3333333432674408,0
YI-280b,YI-280b,,SST,planetaryProjectSafetySmall,1349bdae33107b13c18e5eab63eec18f-13,1,-1,1,0.08851230144500732,0
YI-280b,YI-280b,,SST,planetaryProjectSafetySmall,1349bdae33107b13c18e5eab63eec18f-8,1,-1,0,0,0
YI-280b,YI-280b,,SST,planetaryProjectSafetySmall,1349bdae33107b13c18e5eab63eec18f-9,1,-1,1,0.6838915944099426,0
Nemesis,JS-299a,,INF,planetaryProjectHealthSmall,e9490131ffe9142a50f7ce475461c7d1-67,0,-1,0,0,0.0416666679084301
Nemesis,JS-299a,,INF,planetaryProjectHealthSmall,e9490131ffe9142a50f7ce475461c7d1-68,0,-1,0,0,0.0416666679084301
Nemesis,JS-299a,,INF,planetaryProjectHealthSmall,e9490131ffe9142a50f7ce475461c7d1-69,0,-1,0,0,0.0416666679084301
Nemesis,JS-299a,,INF,planetaryProjectHealthSmall,e9490131ffe9142a50f7ce475461c7d1-70,0,-1,0,0,0.0416666679084301
Nemesis,JS-299a,,INF,planetaryProjectHealthSmall,e9490131ffe9142a50f7ce475461c7d1-71,0,-1,0,0,0.0416666679084301
Nemesis,JS-299a,,INF,planetaryProjectHealthSmall,e9490131ffe9142a50f7ce475461c7d1-72,0,-1,0,0,0.0416666679084301
Nemesis,JS-299a,,INF,planetaryProjectHealthSmall,e9490131ffe9142a50f7ce475461c7d1-73,1,1,0,0,0
Nemesis,JS-299a,,INF,planetaryProjectHealthSmall,e9490131ffe9142a50f7ce475461c7d1-74,1,1,1,0.41156381368637085,0
