PlanetNaturalId,PlanetName,Category,WorkforceLevel,FeeAmount,FeeCurrency
AJ-135e,AJ-135e,ELECTRONICS,SCIENTIST,0,ICA
AJ-135e,AJ-135e,AGRICULTURE,PIONEER,0,ICA
AJ-135e,AJ-135e,FOOD_INDUSTRIES,SETTLER,0,ICA
AJ-135e,AJ-135e,FOOD_INDUSTRIES,PIONEER,0,ICA
AJ-135e,AJ-135e,ELECTRONICS,ENGINEER,0,ICA
AJ-135e,AJ-135e,ELECTRONICS,TECHNICIAN,0,ICA
AJ-135e,AJ-135e,ELECTRONICS,SETTLER,0,ICA
AJ-135e,AJ-135e,ELECTRONICS,PIONEER,0,ICA
AJ-135e,AJ-135e,CONSTRUCTION,SCIENTIST,0,ICA
AJ-135e,AJ-135e,CONSTRUCTION,ENGINEER,0,ICA
AJ-135e,AJ-135e,CONSTRUCTION,TECHNICIAN,0,ICA
AJ-135e,AJ-135e,CONSTRUCTION,SETTLER,0,ICA
AJ-135e,AJ-135e,CONSTRUCTION,PIONEER,0,ICA
AJ-135e,AJ-135e,CHEMISTRY,SCIENTIST,0,ICA
AJ-135e,AJ-135e,CHEMISTRY,ENGINEER,0,ICA
AJ-135e,AJ-135e,CHEMISTRY,TECHNICIAN,0,ICA
AJ-135e,AJ-135e,CHEMISTRY,SETTLER,0,ICA
AJ-135e,AJ-135e,CHEMISTRY,PIONEER,0,ICA
AJ-135e,AJ-135e,AGRICULTURE,SCIENTIST,0,ICA
AJ-135e,AJ-135e,AGRICULTURE,ENGINEER,0,ICA
AJ-135e,AJ-135e,AGRICULTURE,TECHNICIAN,0,ICA
AJ-135e,AJ-135e,FOOD_INDUSTRIES,TECHNICIAN,0,ICA
AJ-135e,AJ-135e,FOOD_INDUSTRIES,ENGINEER,0,ICA
AJ-135e,AJ-135e,FOOD_INDUSTRIES,SCIENTIST,0,ICA
AJ-135e,AJ-135e,METALLURGY,PIONEER,0,ICA
AJ-135e,AJ-135e,RESOURCE_EXTRACTION,SCIENTIST,0,ICA
AJ-135e,AJ-135e,RESOURCE_EXTRACTION,ENGINEER,0,ICA
AJ-135e,AJ-135e,RESOURCE_EXTRACTION,TECHNICIAN,0,ICA
AJ-135e,AJ-135e,RESOURCE_EXTRACTION,SETTLER,0,ICA
AJ-135e,AJ-135e,RESOURCE_EXTRACTION,PIONEER,0,ICA
AJ-135e,AJ-135e,METALLURGY,SCIENTIST,0,ICA
AJ-135e,AJ-135e,METALLURGY,ENGINEER,0,ICA
AJ-135e,AJ-135e,METALLURGY,TECHNICIAN,0,ICA
AJ-135e,AJ-135e,METALLURGY,SETTLER,0,ICA
AJ-135e,AJ-135e,MANUFACTURING,SCIENTIST,0,ICA
AJ-135e,AJ-135e,FUEL_REFINING,PIONEER,0,ICA
AJ-135e,AJ-135e,MANUFACTURING,ENGINEER,0,ICA
AJ-135e,AJ-135e,MANUFACTURING,TECHNICIAN,0,ICA
AJ-135e,AJ-135e,MANUFACTURING,SETTLER,0,ICA
AJ-135e,AJ-135e,MANUFACTURING,PIONEER,0,ICA
AJ-135e,AJ-135e,FUEL_REFINING,SCIENTIST,0,ICA
AJ-135e,AJ-135e,FUEL_REFINING,ENGINEER,0,ICA
AJ-135e,AJ-135e,FUEL_REFINING,TECHNICIAN,0,ICA
AJ-135e,AJ-135e,FUEL_REFINING,SETTLER,0,ICA
AJ-135e,AJ-135e,AGRICULTURE,SETTLER,0,ICA
AJ-293a,AJ-293a,METALLURGY,TECHNICIAN,0,ICA
AJ-293a,AJ-293a,FUEL_REFINING,ENGINEER,0,ICA
AJ-293a,AJ-293a,FUEL_REFINING,SCIENTIST,0,ICA
AJ-293a,AJ-293a,MANUFACTURING,PIONEER,0,ICA
AJ-293a,AJ-293a,MANUFACTURING,SETTLER,0,ICA
AJ-293a,AJ-293a,MANUFACTURING,TECHNICIAN,0,ICA
AJ-293a,AJ-293a,MANUFACTURING,ENGINEER,0,ICA
AJ-293a,AJ-293a,MANUFACTURING,SCIENTIST,0,ICA
AJ-293a,AJ-293a,METALLURGY,PIONEER,0,ICA
AJ-293a,AJ-293a,METALLURGY,SETTLER,0,ICA
AJ-293a,AJ-293a,METALLURGY,ENGINEER,0,ICA
AJ-293a,AJ-293a,METALLURGY,SCIENTIST,0,ICA
AJ-293a,AJ-293a,RESOURCE_EXTRACTION,PIONEER,0,ICA
AJ-293a,AJ-293a,RESOURCE_EXTRACTION,SETTLER,0,ICA
AJ-293a,AJ-293a,RESOURCE_EXTRACTION,TECHNICIAN,0,ICA
AJ-293a,AJ-293a,RESOURCE_EXTRACTION,ENGINEER,0,ICA
AJ-293a,AJ-293a,RESOURCE_EXTRACTION,SCIENTIST,0,ICA
AJ-293a,AJ-293a,FUEL_REFINING,SETTLER,0,ICA
AJ-293a,AJ-293a,FUEL_REFINING,PIONEER,0,ICA
AJ-293a,AJ-293a,FOOD_INDUSTRIES,SCIENTIST,0,ICA
AJ-293a,AJ-293a,FOOD_INDUSTRIES,ENGINEER,0,ICA
AJ-293a,AJ-293a,AGRICULTURE,TECHNICIAN,0,ICA
AJ-293a,AJ-293a,AGRICULTURE,ENGINEER,0,ICA
AJ-293a,AJ-293a,AGRICULTURE,SCIENTIST,0,ICA
AJ-293a,AJ-293a,CHEMISTRY,PIONEER,0,ICA
AJ-293a,AJ-293a,CHEMISTRY,SETTLER,0,ICA
AJ-293a,AJ-293a,CHEMISTRY,TECHNICIAN,0,ICA
AJ-293a,AJ-293a,CHEMISTRY,ENGINEER,0,ICA
AJ-293a,AJ-293a,CHEMISTRY,SCIENTIST,0,ICA
AJ-293a,AJ-293a,CONSTRUCTION,PIONEER,0,ICA
AJ-293a,AJ-293a,AGRICULTURE,PIONEER,0,ICA
AJ-293a,AJ-293a,CONSTRUCTION,SETTLER,0,ICA
AJ-293a,AJ-293a,FUEL_REFINING,TECHNICIAN,0,ICA
AJ-293a,AJ-293a,AGRICULTURE,SETTLER,0,ICA
AJ-293a,AJ-293a,CONSTRUCTION,ENGINEER,0,ICA
AJ-293a,AJ-293a,CONSTRUCTION,SCIENTIST,0,ICA
AJ-293a,AJ-293a,ELECTRONICS,PIONEER,0,ICA
AJ-293a,AJ-293a,ELECTRONICS,SETTLER,0,ICA
AJ-293a,AJ-293a,ELECTRONICS,TECHNICIAN,0,ICA
AJ-293a,AJ-293a,ELECTRONICS,ENGINEER,0,ICA
AJ-293a,AJ-293a,ELECTRONICS,SCIENTIST,0,ICA
AJ-293a,AJ-293a,FOOD_INDUSTRIES,SETTLER,0,ICA
AJ-293a,AJ-293a,FOOD_INDUSTRIES,TECHNICIAN,0,ICA
AJ-293a,AJ-293a,CONSTRUCTION,TECHNICIAN,0,ICA
AJ-293a,AJ-293a,FOOD_INDUSTRIES,PIONEER,0,ICA
AJ-293g,AJ-293g,RESOURCE_EXTRACTION,PIONEER,0,ICA
AJ-293g,AJ-293g,FOOD_INDUSTRIES,PIONEER,0,ICA
AJ-293g,AJ-293g,CONSTRUCTION,TECHNICIAN,0,ICA
AJ-293g,AJ-293g,FOOD_INDUSTRIES,TECHNICIAN,0,ICA
AJ-293g,AJ-293g,FOOD_INDUSTRIES,SETTLER,0,ICA
AJ-293g,AJ-293g,ELECTRONICS,SCIENTIST,0,ICA
AJ-293g,AJ-293g,ELECTRONICS,ENGINEER,0,ICA
AJ-293g,AJ-293g,ELECTRONICS,TECHNICIAN,0,ICA
AJ-293g,AJ-293g,ELECTRONICS,SETTLER,0,ICA
AJ-293g,AJ-293g,ELECTRONICS,PIONEER,0,ICA
AJ-293g,AJ-293g,CONSTRUCTION,SCIENTIST,0,ICA
AJ-293g,AJ-293g,CONSTRUCTION,ENGINEER,0,ICA
AJ-293g,AJ-293g,CONSTRUCTION,SETTLER,0,ICA
AJ-293g,AJ-293g,AGRICULTURE,PIONEER,0,ICA
