NaturalId,Name,Radiation,Pressure,OrbitIndex,Fertility,Sunlight,Surface,Gravity,Radius,Temperature,Mass,MagneticField,MassEarth
AJ-120a,AJ-120a,1.5209736812753207E-22,0.00477634696289897,0,-1,5170.1416015625,True,0.4546058475971222,5996836.5,95.8556900024414,2.4022830195766117E+24,0.0996348187327385,0.4022577106952667
AJ-120b,AJ-120b,2.7145558873876276E-23,0.038406096398830414,1,-1,2501.69482421875,True,0.3110785484313965,3190168.75,42.76878356933594,4.652026021297641E+23,0.6679037809371948,0.07789728790521622
AJ-120c,AJ-120c,1.3538869462066307E-23,12.487131118774414,2,-1,779.1547241210938,True,1.557403564453125,7699737.5,-62.93855667114258,1.35674361510253E+25,0.4681880474090576,2.271841287612915
AJ-120d,AJ-120d,4.947764785399679E-24,1.7227267026901245,3,-1,324.0431213378906,True,0.7684974670410156,5449489,-91.41980743408203,3.353503645141064E+24,0.5326893925666809,0.5615378022193909
AJ-120e,AJ-120e,1.1313663636823814E-24,52.366058349609375,4,-1,85.91106414794922,True,1.1412172317504883,9964891,-118.12837982177734,1.6651685643289352E+25,0.5969549417495728,2.78829288482666
AJ-120f,AJ-120f,5.735861876049211E-25,1.0108833312988281,5,-1,29.749345779418945,False,0.8087987899780273,24022978,-144.7711181640625,6.858654860424032E+25,0.40990668535232544,11.484686851501465
AJ-120g,AJ-120g,5.483674754304115E-26,1.3748188018798828,6,-1,6.4681549072265625,False,2.387291669845581,53710744,-191.81622314453125,1.0119816652688632E+27,0.740527868270874,169.4543914794922
AJ-120h,AJ-120h,6.440874262616215E-26,0.9167591333389282,7,-1,2.5520174503326416,False,2.2899270057678223,72003904,-183.9515380859375,1.7445299852738378E+27,0.2275673747062683,292.1181945800781
AJ-120i,AJ-120i,1.2427613782122734E-26,1.9240214824676514,8,-1,0.6411442756652832,False,1.3590227365493774,42070620,-228.211181640625,3.534510534336007E+26,0.4067586660385132,59.1847038269043
AJ-135a,AJ-135a,6.480133897716802E-25,34.01154708862305,0,-1,102.05697631835938,True,0.9508510828018188,8906420,-109.45377349853516,1.1083158939308118E+25,0.8056696057319641,1.855853796005249
AJ-135b,AJ-135b,1.047964488212149E-25,42.42890548706055,1,-1,57.63252258300781,True,1.2614597082138062,6483345,-141.06809997558594,7.791416434477714E+24,0.9443483352661133,1.3046578168869019
AJ-135c,AJ-135c,2.06501894096741E-25,0.6453099846839905,3,-1,9.927935600280762,True,0.5793210864067078,9376768,-202.25563049316406,7.484632092552364E+24,0.3634031116962433,1.2532873153686523
AJ-135d,AJ-135d,1.0073844355416905E-25,0.6462130546569824,4,-1,3.4096477031707764,True,0.9221755862236023,12440086,-208.8022918701172,2.0970323226597276E+25,0.09575701504945755,3.5114407539367676
AJ-135e,AJ-135e,2.030407984603349E-27,1.8307548761367798,6,-1,0.31210583448410034,False,1.5003830194473267,64976328,-220.77023315429688,9.308018980320688E+26,0.800895631313324,155.86099243164062
AJ-135f,AJ-135f,1.919478271666533E-27,1.5040254592895508,7,-1,0.0974244698882103,False,1.5728155374526978,86336896,-214.06484985351562,1.7227228347257087E+27,0.39700379967689514,288.4666442871094
AJ-135g,AJ-135g,8.128522145382436E-28,1.042486548423767,8,-1,0.025851750746369362,False,1.0085099935531616,45546008,-248.39808654785156,3.074153958167393E+26,0.037676580250263214,51.47611999511719
AJ-293a,AJ-293a,5.320005369607223E-23,0.3022765517234802,1,-1,4161.5048828125,True,0.423294335603714,6259314,45.12930679321289,2.4369166374598133E+24,0.6087439060211182,0.4080570638179779
AJ-293b,AJ-293b,3.128716066782073E-23,5.101475238800049,2,-1,1242.698486328125,True,1.3429847955703735,7078245.5,-10.418604850769043,9.887058218510735E+24,0.22945182025432587,1.655569076538086
AJ-293c,AJ-293c,1.3127469033662687E-23,1.5643585920333862,3,-1,543.5269775390625,True,0.8384385704994202,7410886,-80.32782745361328,6.766378136083363E+24,0.2608044743537903,1.1330170631408691
AJ-293d,AJ-293d,1.8135898344335462E-26,30.335845947265625,4,-1,155.57151794433594,True,0.7228471636772156,9601801,-101.6338882446289,9.79257053660068E+24,0.9964321255683899,1.639747142791748
AJ-293e,AJ-293e,6.994035855308833E-25,1.8961368799209595,5,-1,37.58436965942383,False,0.7122858762741089,21320956,-160.52395629882812,4.757868625345305E+25,0.43046557903289795,7.966960430145264
AJ-293f,AJ-293f,8.422004748846292E-26,1.9165241718292236,7,-1,3.202725410461426,False,2.515148162841797,73557232,-210.39772033691406,1.9996736909591337E+27,0.19518661499023438,334.841552734375
AJ-293g,AJ-293g,9.405355150240864E-27,1.2544926404953003,8,-1,0.9924643039703369,False,1.202612280845642,43850228,-206.01744079589844,3.39792788973521E+26,0.7099587917327881,56.89765167236328
AJ-300a,AJ-300a,9.368171953582405E-23,26.275856018066406,0,-1,12885.3798828125,True,1.2865709066390991,6840556,218.63389587402344,8.846293494332794E+24,0.7774861454963684,1.4812949895858765
AJ-300b,AJ-300b,1.3693972768895966E-22,1.6473565101623535,1,-1,5773.42626953125,True,0.983041524887085,5380789.5,98.86597442626953,4.182236881249769E+24,0.2740691602230072,0.7003075480461121
AJ-300c,AJ-300c,3.0317104723557694E-23,0.03787354752421379,2,-1,1755.3203125,True,0.2733129858970642,2726731.5,73.43472290039062,2.9860000436572486E+23,0.4713956415653229,0.05000000074505806
AJ-300d,AJ-300d,1.6822218201261984E-24,2.2208445072174072,4,-1,177.81768798828125,True,0.5638238787651062,5243074,-98.92643737792969,2.2775095308924165E+24,0.7104606032371521,0.381364643573761
AJ-300e,AJ-300e,3.0733490851489925E-25,1.1810059547424316,5,-1,62.544227600097656,False,0.8055891990661621,25745680,-146.11830139160156,7.846339193822024E+25,0.8496082425117493,13.138545989990234
AJ-300f,AJ-300f,1.927390816176092E-25,1.749678611755371,6,-1,16.341909408569336,False,1.870564341545105,58008100,-163.54983520507812,9.24899751585221E+26,0.6390339136123657,154.87269592285156
AJ-505a,AJ-505a,2.167174456041268E-25,0.032503630965948105,2,-1,20.290597915649414,True,0.2967797517776489,2616708.75,-174.2903594970703,2.9860000436572486E+23,0.6731123924255371,0.05000000074505806
